picture,stimulus,correctresponse,distance,emotion,answer,RT,correct
"  2800.png","  3-3.png",1,0,1,3,899.0,1
"  9910.png","  4-4.png",2,0,1,4,832.0,1
"  9050.png","  5-5.png",3,0,1,5,1099.0,1
"  7380.png","  6-6.png",4,0,1,6,751.0,1
"  6300.png","  3-3.png",1,0,1,3,834.0,1
"  6830.png","  4-4.png",2,0,1,4,849.0,1
"  1050.png","  5-5.png",3,0,1,5,900.0,1
"  2722.png","  6-6.png",4,0,1,6,484.0,1
"  2791.png","  3-3.png",1,0,2,3,769.0,1
"  8021.png","  4-4.png",2,0,2,4,618.0,1
"  7410.png","  5-5.png",3,0,2,5,533.0,1
"  7400.png","  6-6.png",4,0,2,6,500.0,1
"  1722.png","  3-3.png",1,0,2,3,783.0,1
"  8490.png","  4-4.png",2,0,2,4,767.0,1
"  8510.png","  5-5.png",3,0,2,5,916.0,1
"  1463.png","  6-6.png",4,0,2,6,850.0,1
"  7060.png","  3-3.png",1,0,3,3,751.0,1
"  7224.png","  4-4.png",2,0,3,4,783.0,1
"  7595.png","  5-5.png",3,0,3,5,902.0,1
"  7040.png","  6-6.png",4,0,3,6,832.0,1
"  7150.png","  3-3.png",1,0,3,3,733.0,1
"  7705.png","  4-4.png",2,0,3,4,650.0,1
"  7217.png","  5-5.png",3,0,3,5,1067.0,1
"  7006.png","  6-6.png",4,0,3,6,716.0,1
"  2800.png","  3-4.png",1,1,1,3,1000.0,1
"  9910.png","  4-3.png",2,1,1,4,850.0,1
"  9050.png","  5-6.png",3,1,1,5,650.0,1
"  7380.png","  6-5.png",4,1,1,6,799.0,1
"  6300.png","  3-4.png",1,1,1,3,912.0,1
"  6830.png","  4-3.png",2,1,1,4,750.0,1
"  1050.png","  5-6.png",3,1,1,5,803.0,1
"  2722.png","  6-5.png",4,1,1,6,632.0,1
"  2791.png","  3-4.png",1,1,2,3,517.0,1
"  8021.png","  4-3.png",2,1,2,4,667.0,1
"  7410.png","  5-6.png",3,1,2,5,532.0,1
"  7400.png","  6-5.png",4,1,2,6,601.0,1
"  1722.png","  3-4.png",1,1,2,3,483.0,1
"  8490.png","  4-3.png",2,1,2,4,466.0,1
"  8510.png","  5-6.png",3,1,2,5,816.0,1
"  1463.png","  6-5.png",4,1,2,6,532.0,1
"  7060.png","  3-4.png",1,1,3,3,599.0,1
"  7224.png","  4-3.png",2,1,3,4,550.0,1
"  7595.png","  5-6.png",3,1,3,5,710.0,1
"  7040.png","  6-5.png",4,1,3,6,533.0,1
"  7150.png","  3-4.png",1,1,3,3,518.0,1
"  7705.png","  4-3.png",2,1,3,4,732.0,1
"  7217.png","  5-6.png",3,1,3,5,650.0,1
"  7006.png","  6-5.png",4,1,3,6,534.0,1
"  1052.png","  3-3.png",1,0,1,3,482.0,1
"  1201.png","  4-4.png",2,0,1,4,567.0,1
"  6190.png","  5-5.png",3,0,1,5,552.0,1
"  6840.png","  6-6.png",4,0,1,6,431.0,1
"  3022.png","  3-3.png",1,0,1,3,517.0,1
"  6010.png","  4-4.png",2,0,1,4,515.0,1
"  1120.png","  5-5.png",3,0,1,5,518.0,1
"  1302.png","  6-6.png",4,0,1,6,366.0,1
"  8502.png","  3-3.png",1,0,2,3,519.0,1
"  5621.png","  4-4.png",2,0,2,4,601.0,1
"  7330.png","  5-5.png",3,0,2,5,498.0,1
"  7502.png","  6-6.png",4,0,2,6,369.0,1
"  5910.png","  3-3.png",1,0,2,3,467.0,1
"  1920.png","  4-4.png",2,0,2,4,715.0,1
"  2260.png","  5-5.png",3,0,2,5,532.0,1
"  1750.png","  6-6.png",4,0,2,6,515.0,1
"  7050.png","  3-3.png",1,0,3,3,467.0,1
"  7950.png","  4-4.png",2,0,3,4,553.0,1
"  7002.png","  5-5.png",3,0,3,5,751.0,1
"  7000.png","  6-6.png",4,0,3,6,517.0,1
"  7090.png","  3-3.png",1,0,3,3,799.0,1
"  5740.png","  4-4.png",2,0,3,4,829.0,1
"  7080.png","  5-5.png",3,0,3,5,551.0,1
"  7140.png","  6-6.png",4,0,3,6,515.0,1
"  1052.png","  3-4.png",1,1,1,3,484.0,1
"  1201.png","  4-3.png",2,1,1,4,450.0,1
"  6190.png","  5-6.png",3,1,1,5,367.0,1
"  6840.png","  6-5.png",4,1,1,6,453.0,1
"  3022.png","  3-4.png",1,1,1,3,483.0,1
"  6010.png","  4-3.png",2,1,1,4,583.0,1
"  1120.png","  5-6.png",3,1,1,5,582.0,1
"  1302.png","  6-5.png",4,1,1,6,635.0,1
"  8502.png","  3-4.png",1,1,2,3,467.0,1
"  5621.png","  4-3.png",2,1,2,4,516.0,1
"  7330.png","  5-6.png",3,1,2,6,649.0,0
"  7502.png","  6-5.png",4,1,2,3,483.0,0
"  5910.png","  3-4.png",1,1,2,3,484.0,1
"  1920.png","  4-3.png",2,1,2,4,533.0,1
"  2260.png","  5-6.png",3,1,2,5,417.0,1
"  1750.png","  6-5.png",4,1,2,6,481.0,1
"  7050.png","  3-4.png",1,1,3,3,516.0,1
"  7950.png","  4-3.png",2,1,3,4,553.0,1
"  7002.png","  5-6.png",3,1,3,5,767.0,1
"  7000.png","  6-5.png",4,1,3,6,650.0,1
"  7090.png","  3-4.png",1,1,3,3,601.0,1
"  5740.png","  4-3.png",2,1,3,4,517.0,1
"  7080.png","  5-6.png",3,1,3,5,517.0,1
"  7140.png","  6-5.png",4,1,3,6,534.0,1
